模型,数据集,模型提出时间,实验,AUC,ACC,F1,RMSE
,,,,,,,
,,,,,,,
DKT,MOOCRadar,2015,baseline,0.482961277,0.493212863,0.60615514,0.516061605
,,,,,,,
SAKT,MOOCRadar,2019,baseline,0.709037989,0.777908597,0.866607441,0.410249859
,,,,,,,
SAINT,MOOCRadar,2020,baseline,0.663712078,0.702362954,0.81070043,0.447582653
,,,,,,,
AKT,MOOCRadar,2020,baseline,0.7357,0.8099,0.8895,0.3716
,,,,,,,
DIMKT,MOOCRadar,2022,baseline,0.7385,0.8345,0.9066,0.3518
,,,,,,,
QIKT,MOOCRadar,2023,baseline,0.7806,0.8371,0.9081,0.3444
,,,,,,,
TCKT,MOOCRadar,2024,baseline,0.7702,0.822,0.8965,0.3559
,,,,,,,
SIMPLEKT,MOOCRadar,2023,baseline,0.75821741,0.820695493,0.895327282,0.359606566
,,,,,,,
SPARSEKT,MOOCRadar,2023,baseline,0.738707421,0.81803618,0.894124664,0.366781624
,,,,,,,
DENOISEKT,MOOCRadar,2025,baseline,0.781708874,0.839074938,0.909390395,0.341541527
,,,,,,,
ROBUSTKT,MOOCRadar,2025,baseline,0.744839313,0.829723585,0.902876294,0.355543685
,,,,,,,
KEENKT,MOOCRadar,2025,baseline,0.775767818,0.806700612,0.884945743,0.36642528
,,,,,,,
LLM,MOOCRadar,,ours,0.840396,0.852063,0.911122,0.33215
,,,,,,,
,,,,,,,
,,,,,,,
DKT,XES3G5M,2015,baseline,0.5006,0.5013,0.6125,0.51
,,,,,,,
SAKT,XES3G5M,2019,baseline,0.5636,0.7011,0.8127,0.496
,,,,,,,
SAINT,XES3G5M,2020,baseline,0.5692,0.7831,0.8773,0.4211
,,,,,,,
AKT,XES3G5M,2020,baseline,0.6065,0.7503,0.8504,0.4235
,,,,,,,
DIMKT,XES3G5M,2022,baseline,0.5771,0.7607,0.8601,0.4228
,,,,,,,
QIKT,XES3G5M,2023,baseline,0.6049,0.7712,0.867,0.4154
,,,,,,,
TCKT,XES3G5M,2024,baseline,0.6004,0.7635,0.8613,0.4193
,,,,,,,
SIMPLEKT,XES3G5M,2023,baseline,0.572551373,0.731193602,0.836261162,0.443100357
,,,,,,,
SPARSEKT,XES3G5M,2023,baseline,0.581037601,0.733843884,0.838060837,0.440744347
,,,,,,,
DENOISEKT,XES3G5M,2025,baseline,0.638371596,0.783891801,0.876795153,0.40282628
,,,,,,,
ROBUSTKT,XES3G5M,2025,baseline,0.574478305,0.741300716,0.844762063,0.439215515
,,,,,,,
KEENKT,XES3G5M,2025,baseline,0.623185988,0.76120115,0.857698416,0.418162675
,,,,,,,
LLM,XES3G5M,,ours,"	0.754206","	0.804572","	0.887277",0.379121
,,,,,,,
,,,,,,,
,,,,,,,
DKT,foundationalassist,2015,baseline,0.505275,0.505273,0.562123,0.508539
,,,,,,,
SAKT,foundationalassist,2019,baseline,0.597427,0.590166,0.666674,0.539563
,,,,,,,
SAINT,foundationalassist,2020,baseline,0.618366,0.622608,0.714361,0.485702
,,,,,,,
AKT,foundationalassist,2020,baseline,0.64298,0.63604,0.71948,0.48547
,,,,,,,
DIMKT,foundationalassist,2022,baseline,0.62496,0.63881,0.74144,0.48391
,,,,,,,
QIKT,foundationalassist,2023,baseline,0.625,0.63779,0.73768,0.48569
,,,,,,,
TCKT,foundationalassist,2024,baseline,0.60107,0.59669,0.67597,0.51298
,,,,,,,
SIMPLEKT,foundationalassist,2023,baseline,0.598072684,0.562523706,0.615828721,0.536656199
,,,,,,,
SPARSEKT,foundationalassist,2023,baseline,0.606745956,0.606730011,0.691799446,0.510947735
,,,,,,,
DENOISEKT,foundationalassist,2025,baseline,0.655713584,0.646941712,0.733967324,0.469424175
,,,,,,,
ROBUSTKT,foundationalassist,2025,baseline,0.625202046,0.609825188,0.683495136,0.490301887
,,,,,,,
KEENKT,foundationalassist,2025,baseline,0.624554384,0.622623603,0.705426599,0.482406208
,,,,,,,
LLM,foundationalassist,,ours,0.78049,0.733476,0.7998,0.423899
